"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"mmu01240","Biosynthesis of cofactors",147,0.583701132656146,1.85471860287069,0.00014446691707599,0.00014446691707599,0.00453986078841168,2352,"tags=16%, list=12%, signal=14%","Mat1a/Rgn/Gulo/Ugt2b1/Ugt2b5/Ugt2a3/Hsd17b6/Pklr/Kynu/Ugt2b34/Ugt2b36/Ugt1a9/Ugt1a2/Ugt2b35/Tdo2/Ido2/Bcat1/Alpl/Alas2/Ugt1a1/Dhfr/Hpd/Nmnat2/Ak9"
"mmu04750","Inflammatory mediator regulation of TRP channels",114,0.583848146109596,1.80139425441142,0.000148566334868519,0.000148566334868519,0.00453986078841168,2238,"tags=25%, list=11%, signal=22%","Kng1/Cyp2c29/Cyp2c50/Cyp4a12a/Cyp2c54/Cyp2j5/Cyp4a12b/Cyp2c68/Cyp2c37/Htr2a/Htr2b/Asic3/Il1b/Cyp2c70/Pla2g4d/Pla2g4e/Cyp4a14/Cyp2c23/Calml3/Alox12e/Cyp2c40/Prkcg/Itpr2/Alox12/Bdkrb2/Adcy4/Plcb2/Pik3r3/Bdkrb1"
"mmu04610","Complement and coagulation cascades",88,0.758708215110094,2.26354244764513,0.000150943396226415,0.000150943396226415,0.00453986078841168,1831,"tags=44%, list=9%, signal=40%","Fga/Kng1/C9/Fgg/Plg/Fgb/F2/C8b/Serpinf2/Serpind1/Cfi/Serpina1c/Mbl2/C8a/F13b/Cfhr1/Proc/Cfhr2/Mbl1/Serpina1e/Serpine1/Klkb1/Serpina1d/Cpb2/C4bp/Serpina5/F12/F9/Serpinc1/Serpina1b/Serpina1a/F2rl3/Cr2/F2r/Masp2/Hc/F11/Itgax/Vwf"
"mmu05204","Chemical carcinogenesis",82,0.70588486507105,2.08585933086613,0.000152253349573691,0.000152253349573691,0.00453986078841168,964,"tags=28%, list=5%, signal=27%","Cyp3a25/Cyp2c29/Sult2a8/Cyp2c50/Cyp2c54/Ugt2b1/Cyp3a11/Ugt2b5/Cyp2c68/Ugt2a3/Cyp1a2/Cyp2c37/Ugt2b34/Ugt2b36/Ugt1a9/Ugt1a2/Cyp2b9/Cyp3a13/Cyp2c70/Gstt4/Ugt2b35/Gstp3/Cyp2c23"
"mmu04976","Bile secretion",85,0.677002359648639,2.00801713223392,0.000152299725860493,0.000152299725860493,0.00453986078841168,1384,"tags=28%, list=7%, signal=26%","Abcb11/Slco1b2/Sult2a8/Slc9a3/Ugt2b1/Slco1a1/Ugt2b5/Aqp8/Ugt2a3/Slc22a7/Slc10a1/Slc5a1/Ugt2b34/Ugt2b36/Ugt1a9/Slc22a1/Ugt1a2/Acnat2/Sct/Ugt2b35/Slco1a4/Atp1a4/Nr0b2/Slc27a5"
"mmu00830","Retinol metabolism",78,0.725597231905467,2.1263795633761,0.000153940886699507,0.000153940886699507,0.00453986078841168,964,"tags=37%, list=5%, signal=35%","Cyp3a25/Cyp2c29/Cyp2c50/Cyp4a12a/Cyp2c54/Ugt2b1/Cyp3a11/Cyp4a12b/Ugt2b5/Rdh7/Cyp2c68/Ugt2a3/Cyp1a2/Hsd17b6/Cyp2c37/Ugt2b34/Ugt2b36/Ugt1a9/Ugt1a2/Cyp2b9/Cyp3a13/Cyp2c70/Rdh16f2/Cyp2a5/Ugt2b35/Cyp2a12/Cyp4a14/Aox4/Cyp2c23"
"mmu00140","Steroid hormone biosynthesis",72,0.79659478342122,2.30562431305736,0.000155836060464391,0.000155836060464391,0.00453986078841168,964,"tags=43%, list=5%, signal=41%","Cyp3a25/Cyp2d10/Cyp2c29/Cyp2c50/Cyp2c54/Hsd3b3/Ugt2b1/Cyp3a11/Ugt2b5/Hsd3b5/Cyp2d26/Cyp2d9/Cyp2c68/Ugt2a3/Cyp1a2/Hsd17b6/Cyp2c37/Ugt2b34/Ugt2b36/Cyp2d40/Ugt1a9/Cyp2d34/Ugt1a2/Cyp2b9/Akr1d1/Cyp3a13/Cyp2c70/Ugt2b35/Hsd17b2/Cyp21a1/Cyp2c23"
"mmu04979","Cholesterol metabolism",49,0.734286055830136,2.003577005102,0.000161264312207708,0.000161264312207708,0.00453986078841168,123,"tags=14%, list=1%, signal=14%","Apob/Abcb11/Apoa4/Apoa2/Apoa1/Apoh/Lipc"
"mmu00591","Linoleic acid metabolism",40,0.755461348781411,1.99150648489967,0.000162813415825464,0.000162813415825464,0.00453986078841168,1589,"tags=45%, list=8%, signal=41%","Cyp3a25/Cyp2c29/Cyp2c50/Cyp2c54/Cyp3a11/Cyp2j5/Cyp2c68/Cyp1a2/Cyp2c37/Pla2g5/Cyp3a13/Cyp2c70/Pla2g4d/Pla2g3/Pla2g4e/Cyp2c23/Cyp2c40/Pla2g2e"
"mmu00040","Pentose and glucuronate interconversions",31,0.832021018907762,2.09220045048164,0.000167364016736402,0.000167364016736402,0.00453986078841168,707,"tags=32%, list=4%, signal=31%","Ugt2b1/Ugt2b5/Ugt2a3/Ugt2b34/Ugt2b36/Kl/Ugt1a9/Ugt1a2/Ugt2b35/Akr1b7"
