"term_id"	"source"	"p_value"	"term_size"	"intersection_size"	"term_name"	"intersection"
"GO:0051674"	"GO:BP"	1.25064568615434e-08	1483	31	"localization of cell"	"Dnah5,Prkd2,Meox2,Dcdc2a,Dnah11,Robo4,Fermt1,Mapk3,Foxj1,Fbxo5,Maz,Pde4b,Epcam,Ephb4,Thbs4,Fgfr4,Ets1,Pik3r3,Tie1,Rsph4a,Pkn3,Cdh1,Pecam1,Pou3f3,Ttc21a,Wdr63,Spag16,Sox18,Timp1,Gnai2,Ccdc40"
"GO:0048870"	"GO:BP"	1.25064568615434e-08	1483	31	"cell motility"	"Dnah5,Prkd2,Meox2,Dcdc2a,Dnah11,Robo4,Fermt1,Mapk3,Foxj1,Fbxo5,Maz,Pde4b,Epcam,Ephb4,Thbs4,Fgfr4,Ets1,Pik3r3,Tie1,Rsph4a,Pkn3,Cdh1,Pecam1,Pou3f3,Ttc21a,Wdr63,Spag16,Sox18,Timp1,Gnai2,Ccdc40"
"GO:0040011"	"GO:BP"	1.76241758554126e-07	1646	31	"locomotion"	"Dnah5,Prkd2,Meox2,Dcdc2a,Dnah11,Robo4,Fermt1,Mapk3,Foxj1,Fbxo5,Maz,Pde4b,Epcam,Ephb4,Thbs4,Fgfr4,Ets1,Pik3r3,Tie1,Rsph4a,Pkn3,Cdh1,Pecam1,Pou3f3,Ttc21a,Wdr63,Spag16,Sox18,Timp1,Gnai2,Ccdc40"
"GO:0006928"	"GO:BP"	2.07712681848581e-07	1872	33	"movement of cell or subcellular component"	"Dnah5,Prkd2,Meox2,Dcdc2a,Dnah11,Robo4,Fermt1,Mapk3,Foxj1,Fbxo5,Maz,Pde4b,Epcam,Ephb4,Thbs4,Fgfr4,Ets1,Pik3r3,Tie1,Rsph4a,Pkn3,Cdh1,Pecam1,Pou3f3,Ttc21a,Wdr63,Spag16,Sox18,Timp1,Dnah9,Gnai2,Ccdc40,Dnah6"
"GO:0032501"	"GO:BP"	6.6443342061895e-06	6189	61	"multicellular organismal process"	"Elf3,Marveld1,Lxn,Dnah5,Prkd2,Meox2,Dcdc2a,Dnah11,Robo4,Fermt1,E2f1,Pkhd1,Gpihbp1,Spata18,Mapk3,Sept4,Foxj1,Tspan2,Fbxo5,Mcoln3,Ccm2l,Pde4b,Epcam,Ephb4,Ggt1,Thbs4,Ets1,Aplnr,Pax8,Pik3r3,Ptprd,Ppp1r1b,Tie1,Pcdh12,Adcy8,Pkn3,Cdh1,Pecam1,Pou3f3,Sall1,Ttc21a,Mall,Wdr63,Mt3,Spag16,Sox18,Ush1c,Timp1,Mmp7,Ptgds,Fkbp4,Kl,Gnai2,Igfn1,Ccdc40,Cdc25b,Igsf11,Sapcd2,Hspb6,Rec8,Slc38a2"
"GO:0008150"	"GO:BP"	1.40831120798555e-05	16263	106	"biological_process"	"Dao,Elf3,Tmem212,Marveld1,Lxn,Dnah5,Icam2,Prkd2,Meox2,Dcdc2a,Dnah11,Prom2,Robo4,2810004N23Rik,Fermt1,Cldn2,E2f1,Kcnk1,Pkhd1,Gpihbp1,Spata18,B3gnt3,Ehf,Zfp617,Mapk3,Afap1l1,Sept4,Foxj1,Tspan2,Calml3,B4galnt2,Ak7,Rgs22,Fbxo5,Maz,Mcoln3,Arap3,Slc30a3,Ccm2l,Pde4b,Epcam,Ephb4,Cdh16,Ggt1,Troap,Thbs4,Fgfr4,Pdzk1,Ets1,Aplnr,Eif5,Pax8,Pik3r3,Sectm1b,Acaa1b,Ptprd,Ppp1r1b,Ecsit,Tie1,Pcdh12,Rsph4a,Adcy8,Pkn3,Ccdc153,Cdh1,Pecam1,Pou3f3,Sall1,Ttc21a,Mall,Wdr63,Gatsl3,Mt3,Spag16,Sox18,Slc7a9,Ush1c,Timp1,Dnah9,Lmf2,Mmp7,Fam183b,Mis18bp1,Elp4,Inf2,Fhod1,Ptgds,Fkbp4,Eif2a,Myct1,Kl,Gnai2,Igfn1,Ccdc40,Map3k11,Cdc25b,Igsf11,Sapcd2,Sparcl1,Acsbg1,Tmem132b,Hspb6,Ckap2,Dnah6,Rec8,Slc38a2"
"GO:0009987"	"GO:BP"	9.06132433033966e-05	14055	97	"cellular process"	"Dao,Elf3,Marveld1,Lxn,Dnah5,Icam2,Prkd2,Meox2,Dcdc2a,Dnah11,Prom2,Robo4,Fermt1,Cldn2,E2f1,Kcnk1,Pkhd1,Gpihbp1,Spata18,B3gnt3,Ehf,Zfp617,Mapk3,Sept4,Foxj1,Tspan2,Calml3,B4galnt2,Ak7,Rgs22,Fbxo5,Maz,Mcoln3,Arap3,Slc30a3,Ccm2l,Pde4b,Epcam,Ephb4,Cdh16,Ggt1,Troap,Thbs4,Fgfr4,Pdzk1,Ets1,Aplnr,Eif5,Pax8,Pik3r3,Sectm1b,Acaa1b,Ptprd,Ppp1r1b,Tie1,Pcdh12,Rsph4a,Adcy8,Pkn3,Cdh1,Pecam1,Pou3f3,Sall1,Ttc21a,Mall,Wdr63,Gatsl3,Mt3,Spag16,Sox18,Slc7a9,Ush1c,Timp1,Dnah9,Mmp7,Mis18bp1,Elp4,Inf2,Fhod1,Ptgds,Fkbp4,Eif2a,Kl,Gnai2,Igfn1,Ccdc40,Map3k11,Cdc25b,Igsf11,Sapcd2,Sparcl1,Acsbg1,Hspb6,Ckap2,Dnah6,Rec8,Slc38a2"
"GO:0003341"	"GO:BP"	9.90641644388988e-05	144	9	"cilium movement"	"Dnah5,Dnah11,Rsph4a,Ttc21a,Wdr63,Spag16,Dnah9,Ccdc40,Dnah6"
"GO:0016477"	"GO:BP"	0.000106788114853964	1348	24	"cell migration"	"Prkd2,Meox2,Dcdc2a,Robo4,Fermt1,Mapk3,Foxj1,Fbxo5,Maz,Pde4b,Ephb4,Thbs4,Fgfr4,Ets1,Pik3r3,Tie1,Pkn3,Cdh1,Pecam1,Pou3f3,Wdr63,Sox18,Timp1,Gnai2"
"GO:0032502"	"GO:BP"	0.000224213579770878	5562	54	"developmental process"	"Elf3,Marveld1,Dnah5,Prkd2,Meox2,Dcdc2a,Dnah11,Robo4,Fermt1,E2f1,Pkhd1,Spata18,Ehf,Mapk3,Sept4,Foxj1,Tspan2,Fbxo5,Mcoln3,Ccm2l,Epcam,Ephb4,Ggt1,Thbs4,Ets1,Aplnr,Pax8,Pik3r3,Ptprd,Tie1,Pcdh12,Cdh1,Pecam1,Pou3f3,Sall1,Ttc21a,Mall,Wdr63,Mt3,Spag16,Sox18,Timp1,Mmp7,Inf2,Fkbp4,Kl,Igfn1,Ccdc40,Cdc25b,Sapcd2,Sparcl1,Hspb6,Rec8,Slc38a2"
"GO:0048856"	"GO:BP"	0.000353771657659109	5147	51	"anatomical structure development"	"Elf3,Marveld1,Dnah5,Prkd2,Meox2,Dcdc2a,Dnah11,Robo4,Fermt1,E2f1,Pkhd1,Spata18,Ehf,Mapk3,Sept4,Foxj1,Tspan2,Fbxo5,Mcoln3,Ccm2l,Epcam,Ephb4,Thbs4,Ets1,Aplnr,Pax8,Pik3r3,Ptprd,Tie1,Pcdh12,Cdh1,Pecam1,Pou3f3,Sall1,Ttc21a,Mall,Mt3,Spag16,Sox18,Timp1,Inf2,Fkbp4,Kl,Igfn1,Ccdc40,Cdc25b,Sapcd2,Sparcl1,Hspb6,Rec8,Slc38a2"
"GO:0035295"	"GO:BP"	0.000452767786626468	1035	20	"tube development"	"Prkd2,Meox2,Robo4,Mapk3,Foxj1,Epcam,Ephb4,Thbs4,Ets1,Aplnr,Pax8,Pik3r3,Tie1,Pecam1,Pou3f3,Sall1,Sox18,Ccdc40,Hspb6,Rec8"
